id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.isActive,away.venue.id,season,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,away.color,away.alternateColor,away.logo,status.type.altDetail,game_id,PBP,Unnamed: 0,odds
220811008.0,s:40~l:59~e:220811008~c:220811008,2002-08-11T22:00Z,0.0,True,False,False,False,[],2002-08-11T22:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,8.0,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029.0,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,6.0,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,1841.0,2002.0,2029.0,Target Center,Minneapolis,MN,19006.0,False,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,,220811008.0,True,,
220811009.0,s:40~l:59~e:220811009~c:220811009,2002-08-11T20:00Z,0.0,True,False,False,False,[],2002-08-11T20:00Z,1.0,STD,11.0,11.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,9.0,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826.0,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,1.0,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,,2002.0,1830.0,Madison Square Garden,New York,NY,19763.0,False,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,,220811009.0,True,,
220811010.0,s:40~l:59~e:220811010~c:220811010,2002-08-11T20:00Z,0.0,True,False,False,False,[],2002-08-11T20:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,10.0,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,True,,,3.0,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,1911.0,2002.0,,,,,,,,,,,,,11213e,c5d646,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,,220811010.0,True,,
220810004.0,s:40~l:59~e:220810004~c:220810004,2002-08-10T20:00Z,0.0,True,False,False,False,[],2002-08-10T20:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,4.0,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,13.0,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,,2002.0,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,,220810004.0,True,,
220809014.0,s:40~l:59~e:220809014~c:220809014,2002-08-10T02:00Z,0.0,True,False,False,False,[],2002-08-10T02:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,14.0,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184.0,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,12.0,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,True,3423.0,2002.0,2184.0,KeyArena,Seattle,WA,17459.0,True,,,,,,,,,,,220809014.0,True,,
220809015.0,s:40~l:59~e:220809015~c:220809015,2002-08-10T01:00Z,0.0,True,False,False,False,[],2002-08-10T01:00Z,1.0,STD,55.0,55.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,15.0,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,,,True,,,6.0,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,1841.0,2002.0,,,,,,,playoff,Playoff Series,LOS Wins series 2-0,True,3.0,"[{'id': '15', 'uid': 's:40~l:59~t:15', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/15?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}]",532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,,220809015.0,True,,
220809007.0,s:40~l:59~e:220809007~c:220809007,2002-08-10T00:00Z,0.0,True,False,False,False,[],2002-08-10T00:00Z,1.0,STD,1.0,1.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,7.0,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,True,3438.0,,2.0,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,True,3417.0,2002.0,3438.0,AmericanAirlines Arena,Miami,FL,19600.0,True,,,,,,,,,,,220809007.0,True,,
220809008.0,s:40~l:59~e:220809008~c:220809008,2002-08-10T00:00Z,0.0,True,False,False,False,[],2002-08-10T00:00Z,1.0,STD,10.0,10.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,8.0,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029.0,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,1.0,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,,2002.0,2029.0,Target Center,Minneapolis,MN,19006.0,False,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,,220809008.0,True,,
220809003.0,s:40~l:59~e:220809003~c:220809003,2002-08-09T23:30Z,0.0,True,False,False,False,[],2002-08-09T23:30Z,1.0,STD,1.0,1.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,3.0,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911.0,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,5.0,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,,2002.0,3419.0,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,,,,,,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,220809003.0,True,,
220809016.0,s:40~l:59~e:220809016~c:220809016,2002-08-09T23:00Z,0.0,True,False,False,False,[],2002-08-09T23:00Z,1.0,STD,18.0,18.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,16.0,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823.0,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,9.0,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,1826.0,2002.0,1823.0,Capital One Arena,Washington,DC,20362.0,True,playoff,Playoff Series,NYL Wins series 2-1,True,3.0,"[{'id': '16', 'uid': 's:40~l:59~t:16', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/16?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}]",0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,,220809016.0,True,,
220808006.0,s:40~l:59~e:220808006~c:220808006,2002-08-09T02:00Z,0.0,True,False,False,False,[],2002-08-09T02:00Z,1.0,STD,1.0,1.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,6.0,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841.0,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,4.0,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,,2002.0,1841.0,STAPLES Center,Los Angeles,CA,19068.0,True,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,,220808006.0,True,,
220808009.0,s:40~l:59~e:220808009~c:220808009,2002-08-08T23:30Z,0.0,True,False,False,False,[],2002-08-08T23:30Z,1.0,STD,2.0,2.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,9.0,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826.0,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,16.0,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,True,1823.0,2002.0,1830.0,Madison Square Garden,New York,NY,19763.0,False,playoff,Playoff Series,NYL Wins series 2-1,True,3.0,"[{'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}, {'id': '16', 'uid': 's:40~l:59~t:16', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/16?lang=en&region=us'}]",e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,,220808009.0,True,,
220808010.0,s:40~l:59~e:220808010~c:220808010,2002-08-08T23:30Z,0.0,True,False,False,False,[],2002-08-08T23:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,10.0,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,True,,,13.0,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,,2002.0,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,,220808010.0,True,,
220807011.0,s:40~l:59~e:220807011~c:220807011,2002-08-08T02:00Z,0.0,True,False,False,False,[],2002-08-08T02:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,11.0,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949.0,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,2.0,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,True,3417.0,2002.0,1949.0,Phoenix Suns Arena,Phoenix,AZ,18055.0,True,,,,,,,,,,,220807011.0,True,,
220807005.0,s:40~l:59~e:220807005~c:220807005,2002-08-08T00:00Z,0.0,True,False,False,False,[],2002-08-08T00:00Z,1.0,STD,13.0,13.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,5.0,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,10.0,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,True,,2002.0,,,,,,,,,,,,,,,,,220807005.0,True,,
220806012.0,s:40~l:59~e:220806012~c:220806012,2002-08-07T02:00Z,0.0,True,False,False,False,[],2002-08-07T02:00Z,1.0,STD,4.0,4.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,12.0,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,,,True,3423.0,,15.0,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,True,,2002.0,3423.0,Rose Garden,Portland,OR,19980.0,False,,,,,,,,,,,220806012.0,True,,
220806013.0,s:40~l:59~e:220806013~c:220806013,2002-08-07T02:00Z,0.0,True,False,False,False,[],2002-08-07T02:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,13.0,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,11.0,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,1949.0,2002.0,,,,,,,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,220806013.0,True,,
220806004.0,s:40~l:59~e:220806004~c:220806004,2002-08-07T00:30Z,0.0,True,False,False,False,[],2002-08-07T00:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,4.0,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,2.0,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,True,3417.0,2002.0,,,,,,,,,,,,,,,,,220806004.0,True,,
220806003.0,s:40~l:59~e:220806003~c:220806003,2002-08-06T23:30Z,0.0,True,False,False,False,[],2002-08-06T23:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,3.0,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911.0,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,1.0,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,,2002.0,3419.0,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,,220806003.0,True,,
220806009.0,s:40~l:59~e:220806009~c:220806009,2002-08-06T23:30Z,0.0,True,False,False,False,[],2002-08-06T23:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,9.0,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826.0,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,8.0,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,2029.0,2002.0,1830.0,Madison Square Garden,New York,NY,19763.0,False,,,,,,,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,,220806009.0,True,,
220806016.0,s:40~l:59~e:220806016~c:220806016,2002-08-06T23:00Z,0.0,True,False,False,False,[],2002-08-06T23:00Z,1.0,STD,4.0,4.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,16.0,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823.0,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,5.0,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,,2002.0,1823.0,Capital One Arena,Washington,DC,20362.0,True,,,,,,,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,220806016.0,True,,
220804006.0,s:40~l:59~e:220804006~c:220804006,2002-08-05T01:30Z,0.0,True,False,False,False,[],2002-08-05T01:30Z,1.0,STD,3.0,3.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,6.0,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841.0,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,15.0,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,True,,2002.0,1841.0,STAPLES Center,Los Angeles,CA,19068.0,True,playoff,Playoff Series,LOS Wins series 2-0,True,3.0,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}, {'id': '15', 'uid': 's:40~l:59~t:15', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/15?lang=en&region=us'}]",,,,,220804006.0,True,,
220804003.0,s:40~l:59~e:220804003~c:220804003,2002-08-04T23:30Z,0.0,True,False,False,False,[],2002-08-04T23:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,3.0,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911.0,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,11.0,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,1949.0,2002.0,3419.0,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,220804003.0,True,,
220804010.0,s:40~l:59~e:220804010~c:220804010,2002-08-04T23:30Z,0.0,True,False,False,False,[],2002-08-04T23:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,10.0,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,True,,,12.0,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,True,3423.0,2002.0,,,,,,,,,,,,,,,,,220804010.0,True,,
220804001.0,s:40~l:59~e:220804001~c:220804001,2002-08-04T22:00Z,0.0,True,False,False,False,[],2002-08-04T22:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,1.0,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,9.0,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,1826.0,2002.0,,,,,,,,,,,,,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,,220804001.0,True,,
220804008.0,s:40~l:59~e:220804008~c:220804008,2002-08-04T22:00Z,0.0,True,False,False,False,[],2002-08-04T22:00Z,1.0,STD,1.0,1.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,8.0,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029.0,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,14.0,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2184.0,2002.0,2029.0,Target Center,Minneapolis,MN,19006.0,False,,,,,,,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,,220804008.0,True,,
220804007.0,s:40~l:59~e:220804007~c:220804007,2002-08-04T21:00Z,0.0,True,False,False,False,[],2002-08-04T21:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,7.0,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,True,3438.0,,16.0,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,True,1823.0,2002.0,3438.0,AmericanAirlines Arena,Miami,FL,19600.0,True,,,,,,,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,,220804007.0,True,,
220803004.0,s:40~l:59~e:220803004~c:220803004,2002-08-04T00:30Z,0.0,True,False,False,False,[],2002-08-04T00:30Z,1.0,STD,11.0,11.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,4.0,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,10.0,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,True,,2002.0,,,,,,,,,,,,,,,,,220803004.0,True,,
220803005.0,s:40~l:59~e:220803005~c:220803005,2002-08-04T00:00Z,0.0,True,False,False,False,[],2002-08-04T00:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,5.0,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,1.0,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,,2002.0,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,,220803005.0,True,,
220803002.0,s:40~l:59~e:220803002~c:220803002,2002-08-03T23:00Z,0.0,True,False,False,False,[],2002-08-03T23:00Z,1.0,STD,9.0,9.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,2.0,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,,,True,3417.0,,3.0,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,1911.0,2002.0,3417.0,Quicken Loans Arena,Cleveland,OH,20562.0,False,,,,,,,11213e,c5d646,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,,220803002.0,True,,
220803013.0,s:40~l:59~e:220803013~c:220803013,2002-08-03T20:00Z,0.0,True,False,False,False,[],2002-08-03T20:00Z,1.0,STD,5.0,5.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,13.0,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,6.0,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,1841.0,2002.0,,,,,,,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,,220803013.0,True,,
220802008.0,s:40~l:59~e:220802008~c:220802008,2002-08-03T00:00Z,0.0,True,False,False,False,[],2002-08-03T00:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,8.0,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029.0,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,11.0,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,1949.0,2002.0,2029.0,Target Center,Minneapolis,MN,19006.0,False,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,220802008.0,True,,
220802009.0,s:40~l:59~e:220802009~c:220802009,2002-08-02T23:00Z,0.0,True,False,False,False,[],2002-08-02T23:00Z,1.0,STD,1.0,1.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,9.0,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826.0,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,7.0,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,True,3438.0,2002.0,1830.0,Madison Square Garden,New York,NY,19763.0,False,,,,,,,,,,,220802009.0,True,,
220802016.0,s:40~l:59~e:220802016~c:220802016,2002-08-02T23:00Z,0.0,True,False,False,False,[],2002-08-02T23:00Z,1.0,STD,1.0,1.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,16.0,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823.0,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,12.0,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,True,3423.0,2002.0,1823.0,Capital One Arena,Washington,DC,20362.0,True,,,,,,,,,,,220802016.0,True,,
220801006.0,s:40~l:59~e:220801006~c:220801006,2002-08-02T02:30Z,0.0,True,False,False,False,[],2002-08-02T02:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,6.0,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841.0,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,14.0,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2184.0,2002.0,1841.0,STAPLES Center,Los Angeles,CA,19068.0,True,playoff,Playoff Series,LOS Wins series 2-0,True,3.0,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/14?lang=en&region=us'}]",05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,,220801006.0,True,,
220801013.0,s:40~l:59~e:220801013~c:220801013,2002-08-02T02:00Z,0.0,True,False,False,False,[],2002-08-02T02:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,13.0,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,15.0,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,True,,2002.0,,,,,,,,,,,,,,,,,220801013.0,True,,
220801003.0,s:40~l:59~e:220801003~c:220801003,2002-08-01T23:30Z,0.0,True,False,False,False,[],2002-08-01T23:30Z,1.0,STD,2.0,2.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,3.0,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911.0,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2.0,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,True,3417.0,2002.0,3419.0,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,,,,,,,,,,220801003.0,True,,
220801010.0,s:40~l:59~e:220801010~c:220801010,2002-08-01T23:30Z,0.0,True,False,False,False,[],2002-08-01T23:30Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,10.0,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,True,,,1.0,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,,2002.0,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,,220801010.0,True,,
220731011.0,s:40~l:59~e:220731011~c:220731011,2002-08-01T02:00Z,0.0,True,False,False,False,[],2002-08-01T02:00Z,1.0,STD,0.0,0.0,2.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,11.0,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949.0,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,5.0,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,,2002.0,1949.0,Phoenix Suns Arena,Phoenix,AZ,18055.0,True,,,,,,,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,220731011.0,True,,
220731015.0,s:40~l:59~e:220731015~c:220731015,2002-08-01T01:00Z,0.0,True,False,False,False,[],2002-08-01T01:00Z,1.0,STD,0.0,0.0,3.0,3.0,STATUS_FINAL,post,True,Final,Final,Final,15.0,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,,,True,,,7.0,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,True,3438.0,2002.0,,,,,,,,,,,,,,,,,220731015.0,True,,
